,bird_width,bird_TotalLength,bird_wingspan,bird_wing,bird_tail,bird_tarsus,bird_finger,beak_culmen,beak_width,beak_height
count,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
mean,25.38,165.8,233.96,77.31,68.91,21.05,9.16,15.56,11.94,9.48
std,7.19,14.39,21.82,3.92,12.56,2.67,5.34,2.53,1.99,1.36
min,0.0,100.0,140.0,63.0,0.0,17.0,0.0,5.0,6.0,7.0
25%,24.0,165.0,230.0,76.0,69.0,19.17,9.9,14.51,11.68,8.88
50%,27.0,170.0,242.0,78.0,71.0,20.79,11.93,15.8,12.3,9.21
75%,29.0,174.0,247.0,80.0,73.0,21.7,12.45,17.18,12.91,9.94
max,41.0,184.0,256.0,87.0,82.0,29.8,15.3,19.93,15.6,13.9
