,bird_width,bird_TotalLength,bird_wingspan,bird_wing,bird_tail,bird_tarsus,bird_finger,beak_culmen,beak_width,beak_height
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,32.64,176.9,249.91,81.62,75.9,22.66,11.09,16.1,11.94,8.7
std,8.23,6.72,15.41,4.23,6.03,2.1,5.74,2.67,1.42,0.85
min,0.0,165.0,215.0,72.0,59.0,17.5,0.0,10.1,9.0,7.2
25%,32.0,171.0,242.0,79.0,74.0,21.5,12.1,14.45,11.38,8.25
50%,35.0,177.5,249.8,83.0,77.0,23.0,13.53,16.4,11.88,8.52
75%,36.0,182.0,260.0,85.0,80.0,23.85,14.28,18.17,12.91,9.0
max,41.0,192.0,273.0,88.0,83.0,26.4,16.0,20.02,14.49,11.0
