,bird_width,bird_TotalLength,bird_wingspan,bird_wing,bird_tail,bird_tarsus,bird_finger,beak_culmen,beak_width,beak_height
count,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
mean,27.97,169.76,239.65,78.85,71.41,21.63,9.85,15.75,11.94,9.2
std,8.3,13.28,21.11,4.51,11.16,2.59,5.52,2.57,1.8,1.25
min,0.0,100.0,140.0,63.0,0.0,17.0,0.0,5.0,6.0,7.0
25%,25.0,165.0,234.0,76.25,70.0,19.96,10.12,14.46,11.55,8.4
50%,28.5,170.5,244.0,79.0,72.0,21.28,12.26,15.99,12.08,9.06
75%,34.0,176.75,250.0,81.12,77.0,23.22,13.24,17.43,12.91,9.67
max,41.0,192.0,273.0,88.0,83.0,29.8,16.0,20.02,15.6,13.9
